"Hari/ Tanggal",Waktu,"Jenis/ Kelas","Materi / Kegiatan","Kode Modul Terintegrasi","Pointer Harmonisasi","Pemateri / PJ",Peserta,Tempat,"Status Modul",Catatan
"Sabtu, 26 September 2026",19.45-21.30,"3 KELAS PARALEL","PENDALAMAN MODUL & EVIDENCE II","PD-08, PN-07/08 | PED-05/06, PEN-05/07 | WAD-05, WAN-04/06","Pendalaman portofolio, simulasi, case conference, video calibration, dokumentasi, evidence","SS. Wartoyo | SS. Yudi Siswantoro | SS. Andreas Sohliem","PD+PN | PED+PEN | WAD+WAN","Ruang 1 | 2 | 3","MODUL PRAKTIK",
"Minggu, 27 September 2026",06.00-07.00,-,"MAKAN PAGI",-,"Persiapan peserta",Panitia,SEMUA,"Ruang Makan",Operasional,
"Minggu, 27 September 2026",07.00-07.15,PLENO,"BRIEFING UJIAN & PEMBAGIAN RUANG",-,"Teknis ujian, rubrik, keselamatan, pembagian ruang","Tim Akademik / Panitia",SEMUA,"MF Hall",Asesmen,
"Minggu, 27 September 2026",07.15-09.15,"3 KELAS PARALEL","PRAKTIK AKHIR / SIMULASI TERINTEGRASI","PD-08, PN-07/08 | PED-05, PEN-05/07 | WAD-05, WAN-06","Microteaching, simulasi grading, simulasi pertandingan/video calibration","SS. Wartoyo | SS. Yudi Siswantoro | SS. Andreas Sohliem","PD+PN | PED+PEN | WAD+WAN","Ruang 1 | 2 | 3","MODUL AKHIR",
"Minggu, 27 September 2026",09.15-09.30,-,"COFFEE BREAK",-,Rehat,Panitia,SEMUA,-,Operasional,
"Minggu, 27 September 2026",09.30-11.30,"3 KELAS PARALEL","UJIAN PRAKTIK & PORTOFOLIO","PD-08, PN-07/08 | PED-05/06, PEN-05/07 | WAD-05, WAN-06","Ujian praktik, scoring, evidence, portofolio, moderasi hasil","Tim Assessor Pelatih | Penguji | Wasit","PD+PN | PED+PEN | WAD+WAN","Ruang 1 | 2 | 3",UJIAN,
"Minggu, 27 September 2026",11.30-12.15,"3 KELAS PARALEL","VERIFIKASI KOMPETENSI & FINALISASI NILAI","PD-08, PN-08 | PED-06, PEN-06/07 | WAD-05, WAN-04/06","Verifikasi evidence, validasi hasil, finalisasi nilai, remedial terbatas bila diperlukan","Tim Akademik / Assessor","PD+PN | PED+PEN | WAD+WAN","Ruang 1 | 2 | 3","ASESMEN AKHIR","Seluruh asesmen selesai maksimal pukul 12.15."
"Minggu, 27 September 2026",12.15-13.00,-,ISHOMA,-,"Istirahat, sholat dan makan",Panitia,SEMUA,"Ruang Makan / Masjid",Operasional,
"Minggu, 27 September 2026",13.00-13.30,PLENO,"PENGUMUMAN HASIL & TRANSKRIP NILAI",-,"Rekap hasil, kelulusan per jalur, administrasi nilai","Tim Evaluasi / Panitia",SEMUA,"MF Hall","Asesmen akhir",
"Minggu, 27 September 2026",13.30-14.00,PLENO,PENUTUPAN,-,"Refleksi akhir, sertifikat, tindak lanjut, penutupan resmi","PB PERKEMI / Panitia",SEMUA,"MF Hall",Penutupan,
